Date,Open,High,Low,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,,,,,,
5/9/2023,173.050003,173.539993,171.600006,171.076035,45326900,1.52,1.43,0.09,6.2937,,,,,,
5/8/2023,172.479996,173.850006,172.110001,172.799057,55962800,1.52,1.43,0.09,6.2937,,,,,,
5/5/2023,170.979996,174.300003,170.759995,172.868774,113316400,1.52,1.43,0.09,6.2937,,,,,,
5/4/2023,164.889999,167.039993,164.309998,165.120178,81235400,1.52,1.43,0.09,6.2937,,,,,,
5/3/2023,169.5,170.919998,167.160004,166.773483,65136000,1.88,1.94,-0.06,-3.0928,,,,,,
5/2/2023,170.089996,170.350006,167.539993,167.85907,48425700,1.88,1.94,-0.06,-3.0928,,,,,,
5/1/2023,169.279999,170.449997,168.639999,168.904831,52472900,1.88,1.94,-0.06,-3.0928,,,,,,
4/28/2023,168.490005,169.850006,167.880005,168.994461,55209200,1.88,1.94,-0.06,-3.0928,,,,,,
4/27/2023,165.190002,168.559998,165.190002,167.729614,64902300,1.88,1.94,-0.06,-3.0928,,,,,,
4/26/2023,163.059998,165.279999,162.800003,163.098389,45498800,1.88,1.94,-0.06,-3.0928,,,,,,
4/25/2023,165.190002,166.309998,163.729996,163.108353,48714100,1.88,1.94,-0.06,-3.0928,,,,,,
4/24/2023,165,165.600006,163.889999,164.662048,41949600,1.88,1.94,-0.06,-3.0928,,,,,,
4/21/2023,165.050003,166.449997,164.490005,164.353302,58337300,1.88,1.94,-0.06,-3.0928,,,,,,
4/20/2023,166.089996,167.869995,165.559998,165.9767,52456400,1.88,1.94,-0.06,-3.0928,,,,,,
4/19/2023,165.800003,168.160004,165.539993,166.952774,47720200,1.88,1.94,-0.06,-3.0928,,,,,,
4/18/2023,166.100006,167.410004,165.649994,165.79744,49923000,1.88,1.94,-0.06,-3.0928,,,,,,
4/17/2023,165.089996,165.389999,164.029999,164.562454,41516200,1.88,1.94,-0.06,-3.0928,,,,,,
4/14/2023,164.589996,166.320007,163.820007,164.542542,49386500,1.88,1.94,-0.06,-3.0928,,,,,,
4/13/2023,161.630005,165.800003,161.419998,164.891113,68445600,1.88,1.94,-0.06,-3.0928,,,,,,
4/12/2023,161.220001,162.059998,159.779999,159.453186,50133100,1.88,1.94,-0.06,-3.0928,,,,,,
4/11/2023,162.350006,162.360001,160.509995,160.15036,47644200,1.88,1.94,-0.06,-3.0928,,,,,,
4/10/2023,161.419998,162.029999,160.080002,161.375397,47716900,1.88,1.94,-0.06,-3.0928,,,,,,
4/6/2023,162.429993,164.960007,162,163.994766,45390100,1.88,1.94,-0.06,-3.0928,,,,,,
4/5/2023,164.740005,165.050003,161.800003,163.098389,51511700,1.88,1.94,-0.06,-3.0928,,,,,,
4/4/2023,166.600006,166.839996,165.110001,164.960831,46278300,1.88,1.94,-0.06,-3.0928,,,,,,
4/3/2023,164.270004,166.289993,164.220001,165.498672,56976200,1.88,1.94,-0.06,-3.0928,,,,,,
3/31/2023,162.440002,165,161.910004,164.23378,68749800,1.88,1.94,-0.06,-3.0928,,,,,,
3/30/2023,161.529999,162.470001,161.270004,161.704041,49501700,1.88,1.94,-0.06,-3.0928,,,,,,
3/29/2023,159.369995,161.050003,159.350006,160.120483,51305700,1.88,1.94,-0.06,-3.0928,,,,,,
3/28/2023,157.970001,158.490005,155.979996,157.013077,45992200,1.88,1.94,-0.06,-3.0928,,,,,,
3/27/2023,159.940002,160.770004,157.869995,157.640533,52390300,1.88,1.94,-0.06,-3.0928,,,,,,
3/24/2023,158.860001,160.339996,157.850006,159.60257,59196500,1.88,1.94,-0.06,-3.0928,,,,,,
3/23/2023,158.830002,161.550003,157.679993,158.287903,67622100,1.88,1.94,-0.06,-3.0928,,,,,,
3/22/2023,159.300003,162.139999,157.809998,157.192352,75701800,1.88,1.94,-0.06,-3.0928,,,,,,
3/21/2023,157.320007,159.399994,156.539993,158.63649,73938300,1.88,1.94,-0.06,-3.0928,,,,,,
3/20/2023,155.070007,157.820007,154.149994,156.764084,73641400,1.88,1.94,-0.06,-3.0928,,,,,,
3/17/2023,156.080002,156.740005,154.279999,154.373779,98944600,1.88,1.94,-0.06,-3.0928,,,,,,
3/16/2023,152.160004,156.460007,151.639999,155.220352,76161100,1.88,1.94,-0.06,-3.0928,,,,,,
3/15/2023,151.190002,153.25,149.919998,152.371902,77167900,1.88,1.94,-0.06,-3.0928,,,,,,
3/14/2023,151.279999,153.399994,150.100006,151.973526,73695900,1.88,1.94,-0.06,-3.0928,,,,,,
3/13/2023,147.809998,153.139999,147.699997,149.862076,84457100,1.88,1.94,-0.06,-3.0928,,,,,,
3/10/2023,150.210007,150.940002,147.610001,147.90004,68572400,1.88,1.94,-0.06,-3.0928,,,,,,
3/9/2023,153.559998,154.539993,150.229996,149.981598,53833600,1.88,1.94,-0.06,-3.0928,,,,,,
3/8/2023,152.809998,153.470001,151.830002,152.252396,47204800,1.88,1.94,-0.06,-3.0928,,,,,,
3/7/2023,153.699997,154.029999,151.130005,150.987534,56182000,1.88,1.94,-0.06,-3.0928,,,,,,
3/6/2023,153.789993,156.300003,153.460007,153.208511,87558000,1.88,1.94,-0.06,-3.0928,,,,,,
3/3/2023,148.039993,151.110001,147.330002,150.419815,70732300,1.88,1.94,-0.06,-3.0928,,,,,,
3/2/2023,144.380005,146.710007,143.899994,145.320511,52238100,1.88,1.94,-0.06,-3.0928,,,,,,
3/1/2023,146.830002,147.229996,145.009995,144.722916,55479000,1.88,1.94,-0.06,-3.0928,,,,,,
2/28/2023,147.050003,149.080002,146.830002,146.814438,50547000,1.88,1.94,-0.06,-3.0928,,,,,,
2/27/2023,147.710007,149.169998,147.449997,147.322372,44998500,1.88,1.94,-0.06,-3.0928,,,,,,
2/24/2023,147.110001,147.190002,145.720001,146.117294,55469600,1.88,1.94,-0.06,-3.0928,,,,,,
2/23/2023,150.089996,150.339996,147.240005,148.796417,48394200,1.88,1.94,-0.06,-3.0928,,,,,,
2/22/2023,148.869995,149.949997,147.160004,148.308395,51011300,1.88,1.94,-0.06,-3.0928,,,,,,
2/21/2023,150.199997,151.300003,148.410004,147.880127,58867200,1.88,1.94,-0.06,-3.0928,,,,,,
2/17/2023,152.350006,153,150.850006,151.933685,59144100,1.88,1.94,-0.06,-3.0928,,,,,,
2/16/2023,153.509995,156.330002,153.350006,153.089005,68167900,1.88,1.94,-0.06,-3.0928,,,,,,
2/15/2023,153.110001,155.5,152.880005,154.702438,65573800,1.88,1.94,-0.06,-3.0928,,,,,,
2/14/2023,152.119995,153.770004,150.860001,152.581055,61707600,1.88,1.94,-0.06,-3.0928,,,,,,
2/13/2023,150.949997,154.259995,150.919998,153.228439,62199000,1.88,1.94,-0.06,-3.0928,,,,,,
2/10/2023,149.460007,151.339996,149.220001,150.399902,57450700,1.88,1.94,-0.06,-3.0928,,,,,,
2/9/2023,153.779999,154.330002,150.419998,150.031387,56007100,1.88,1.94,-0.06,-3.0928,,,,,,
2/8/2023,153.880005,154.580002,151.169998,151.075562,64120100,1.88,1.94,-0.06,-3.0928,,,,,,
2/7/2023,150.639999,155.229996,150.639999,153.790375,83322600,1.88,1.94,-0.06,-3.0928,,,,,,
2/6/2023,152.570007,153.100006,150.779999,150.886612,69858300,1.88,1.94,-0.06,-3.0928,,,,,,
2/3/2023,148.029999,157.380005,147.830002,153.64122,154357300,1.88,1.94,-0.06,-3.0928,,,,,,
2/2/2023,148.899994,151.179993,148.169998,149.981674,118339000,1.88,1.94,-0.06,-3.0928,,,,,,
